Review text,Ratings
"The Product is not original, the cork used to come out within 2 days of its use. Please don't buy these shuttles it's not original. Rather buy from the shop itself, the shop rates are the same.READ MORE",Negative Review
Quality was not good as earlier also the manufactur date also very long back. Earlier shuttlecocks I received with max past month manufacturer. But now that also too back.READ MORE,Negative Review
Not genuine productREAD MORE,Negative Review
Waste productREAD MORE,Negative Review
I have used same shuttle before. This item is not the same quality. It's to slow. Disappointed that time.READ MORE,Negative Review
Very High PriceREAD MORE,Negative Review
"Bad bad , compare to ah year back coming mavis 350READ MORE",Negative Review
"The yonex Mavis 350 is the best among all the yonex shuttlecocks. I am playing with it for more than one year. But the price is increasing unnecessarily, it was Rs. 729 in the last year.READ MORE",Positive Review
Very bad product quality i have used 3shuttle in only 3days Totally wastage of money Copied productREAD MORE,Negative Review
All shuttle's were heavier than the specifications. It felt like we were playing with a cheap rip off of the original MAVIS 350READ MORE,Negative Review
3rd class quality  I want Returns but time is overREAD MORE,Negative Review
Worst shuttle ever. The shuttles started spinning after few shots and did not even come for a game.READ MORE,Negative Review
Certain corks are damaged. Certain corks are not even came for 2 matchesREAD MORE,Negative Review
Very bad quality 👎READ MORE,Negative Review
Not expected qualityREAD MORE,Negative Review
Bad quality.... couldn't play 1hr  by an shuttleREAD MORE,Negative Review
not durable. very poor qualityREAD MORE,Negative Review
but price is littel bit highREAD MORE,Positive Review
GoodREAD MORE,Positive Review
NiceREAD MORE,Negative Review
not the required one.READ MORE,Positive Review
This product is not original.please avoid online purchase.READ MORE,Negative Review
One shuttle was damaged and vobling..let me know what to doREAD MORE,Negative Review
Good quality productREAD MORE,Positive Review
Good shuttle and  classic productREAD MORE,Positive Review
got defective piecesREAD MORE,Negative Review
"bad packing, unsatisfiedREAD MORE",Negative Review
Pros1. Quality product by yonex.It is original.2. Shuttle runs very long.3. Prompt delivery by flipkart.4. Shuttle is durable.Cons1.NoneREAD MORE,Positive Review
good quality..  nice product..  thanks fpr fast deliveryREAD MORE,Positive Review
Nice cockeREAD MORE,Positive Review
Good qualityREAD MORE,Positive Review
Scratch code mentioned in the barrel was verified in Yonex - Sunrise website. It mentioned that the product was duplicate.READ MORE,Negative Review
it's awsm 😎READ MORE,Positive Review
reasonable priceREAD MORE,Positive Review
"Excellent Product , Its 100% original product which i have received , Fast Delivery , No second tough go for it.....READ MORE",Positive Review
One of the best offer given by My flipkart. best shuttle for tournaments and training. Always use this type of shuttles for play. No.1- yonex 350mavis Green. thanks to flipkart for best deal . always put these type of deal . i have booked for 599 only.......READ MORE,Positive Review
"good . no question about it . lasting for 15-20 matches . but you can purchase yonex mavis 350 blue one . little bit fast but good for smash , lasting same like green capREAD MORE",Positive Review
Mavis 350 is quite durable and and really good for starters. But I recommend Mavis 500 for best practice sessions.READ MORE,Positive Review
"Received product before committed time. Thanks flipkart... This mavis 350 is really awesome product. It doesn't matter whether you are beginners, intermediate or advanced level of player this mavis 350 is definitely perfectly works for all. I am playing with this from last 2 years.READ MORE",Positive Review
"Good ,very nicely packed and everyshuttle was very nice insude with perfect flight.READ MORE",Positive Review
"got this product earlier than expected at Rs689 on 7 th april 2018  on sale. box was properly sealed with Feb2018 packing/import date i m not sure but Mrp was 1040. so, for me it was way cheaper than market price here (Rs 750 per box). I also checked popular websites but no one was close to Flipkart at that point. I always use Mavis 350 green cap for its stability, durability and speed in open court. Thanks Flipkart, hoping cheaper deal again.READ MORE",Positive Review
"This is the best choice for people who wants to practice both indoor and outdoor badminton and not get into financial obligations of feather shuttle. Mavis 300 is hard to find at times, so 350 is a savior as it's always available. Yellow ones are a bit better for outdoor and white is fine indoors because of their respective colours against the given backdrop. Flipkart has offered best price in almost all season so far. Longevity of the shuttles are starkly less when played with at outdoor due...READ MORE",Positive Review
"After a long time, got an entire box of genuine shuttles. Dynamic pricing strategy is a big no. Everyday prices can't go up and down. Otherwise we would be more than happy to buy.READ MORE",Positive Review
very good product n durable but not good enough speed slows down little in mid airREAD MORE,Positive Review
The shuttles were imported in February 2018 (bought March last) and the serial number revealed after scratching the sticker shows that the item is genuine. Did not start to play yet. But the items look good and sturdy. Got it for 708 and i think it is worth for the price. Also happy to get the items delivered quickly.READ MORE,Positive Review
Best shuttlecocks... It's life is far better than li ning or any other shuttle in this price range... I purchased it from rs654  during sale... It's flight is also better than other shuttlecocksREAD MORE,Positive Review
Good n Nice balanced shuttles... Thanks retailnet n flipkart.. Hope we'l get more convincing rates of lowered one...READ MORE,Positive Review
"This shuttle is the best one, it is excellent 👍 price doesn't matter ❤️READ MORE",Positive Review
"Quality  very bad,per day one cork finished,may be it look like duplicate  mavis 350 corks.I purchased  many cork boxes  from all sellers.that all cork  boxes  comes  15 days  for playing, but this box stays only 6 days ,so you understand  how delicate this cork box  isREAD MORE",Negative Review
Cost is too high I hate the productREAD MORE,Negative Review
Very poor quality...inconsistent speed...poor flightREAD MORE,Negative Review
Yonex is always best in quality....READ MORE,Positive Review
worst shuttle... these doesn't last even for a day... very poor quality... not sure if it is due to stock issue or is that a copy product... I would never buy this through flipkart...READ MORE,Negative Review
"i have used this product. good for economic use. Durable and good balance. long lasting, even sustains wrong shots. Quiet economic when compared with Feather Shuttles.READ MORE",Positive Review
I'm very happy with this product and its quality. It arrived before its actual delivery date given. Thanks Flipkart for your quick delivery.  I recommended it to everyone who would like to enjoy a longer and satisfied games.READ MORE,Positive Review
Amazing shuttlecockDurable and of best qualityGo for it.READ MORE,Positive Review
checked at Sunrisetnt.com . found genuineREAD MORE,Positive Review
Horrible!!! In my 1st order I received Mavis 200i which was not sealed and the bill was of Mavis 350 I thought it was mistake then i asked for replacement in replacement I received box of Mavis 350 which was again not sealed and inside were cheap shuttles of local quality. Do not buy from Flipkart.READ MORE,Negative Review
AverageREAD MORE,Negative Review
"Excellent synthetic shuttles from Yonex. I have used 350s, 500s as well as 2000s. I prefer these yellow ones for the visibility. In general the 350s are quite durable and long lasting (one shuttle can easily last half a dozen to a dozen intense games before the flight becomes unacceptable), and i found them to travel shorter distances than the 2000s and therefore prefer them.READ MORE",Positive Review
Best shuttle available in the market. I have not used any other shuttles till now. So not aware of a better shuttle.The price I got it from Flipkart is really the best price. I have researched checking other online stores and sports shops. This is definitely the best price I could find.READ MORE,Positive Review
"Bad quality, i have pirchase 4 boxes but all are very fast.READ MORE",Negative Review
Best shuttle available online no more discription needed.READ MORE,Positive Review
long lasting product.....nice product....READ MORE,Positive Review
best shuttleREAD MORE,Positive Review
🏸Good Quality... 🏸READ MORE,Positive Review
Fabulous itemREAD MORE,Positive Review
Nice quality.Very good product.I am very much thankful to Flipkart and the Courier company for delivering me so quickly.I am very happy.And I will definitely tell to my friends to order this product.READ MORE,Positive Review
Feels the quality is far less compared to previous set which was brought from other platform. 1 Shuttle is breaking or wobbling per 1 hr game session.. Feeling cheated..READ MORE,Negative Review
This is the original mavis 350READ MORE,Positive Review
Bad quality and poor quality while playing the ahuttles caps or looseREAD MORE,Negative Review
Two shuttles were durable out of 6..READ MORE,Negative Review
Poor quality. It was horrible. I didn't play two games with each shuttleREAD MORE,Negative Review
Worst product. Every ball in this box got flat within one or two strokes. The disappointed fact is Flipkart is not accepting the replacement because of open box delivery. Without using the product how could I know the quality?READ MORE,Negative Review
Best oneREAD MORE,Positive Review
Excellent product👌READ MORE,Positive Review
Very Bad Quality in filpkartREAD MORE,Negative Review
Delicate productREAD MORE,Negative Review
Bad qualityREAD MORE,Negative Review
Don't have good qualityREAD MORE,Negative Review
Quality of 2 shuttles not as per Mavis 350 standards.READ MORE,Negative Review
It's is good product and the service was very goodREAD MORE,Positive Review
2nd qualityREAD MORE,Negative Review
Local productREAD MORE,Negative Review
Very old stock.. not lasts to even 5 gamesREAD MORE,Negative Review
All shuttles are not good in view of balance.READ MORE,Negative Review
OkREAD MORE,Positive Review
Nice product all suttles are good 🥰🥰READ MORE,Positive Review
Nice productREAD MORE,Positive Review
Old one onlyREAD MORE,Negative Review
Super ballREAD MORE,Positive Review
According to cost it's average lifeREAD MORE,Positive Review
So worstREAD MORE,Negative Review
👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎Poor quality 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎READ MORE,Negative Review
Quality not good              It was broken after 2 matchREAD MORE,Negative Review
Nice product but damage in 1 daysREAD MORE,Negative Review
Not good at all this is the worst product I have bought at flipkartREAD MORE,Negative Review
Low quality. Not durabalityREAD MORE,Positive Review
BadlyREAD MORE,Negative Review
Very bad qualityREAD MORE,Negative Review
Very bad product a word to describe I write duplicate productREAD MORE,Negative Review
This time quality very very worstREAD MORE,Negative Review
Poor quality ☹️READ MORE,Negative Review
Very  low bad quality product Flipkart is fooling everyoneREAD MORE,Negative Review
"This shuttles were duplicates, these were not up to the mark.READ MORE",Negative Review
Very bad product I ever receivedREAD MORE,Negative Review
Bad copy quality riceveREAD MORE,Negative Review
Waste of moneyREAD MORE,Negative Review
Quality is very bad and very very tired class shuttecockREAD MORE,Negative Review
WorstREAD MORE,Negative Review
So poor qualityREAD MORE,Negative Review
Reate is wery to muchREAD MORE,Negative Review
The worst shuttle ever I used so far. Don't buy this product. It is low in qualityREAD MORE,Negative Review
not upto mark cork getting cracksREAD MORE,Negative Review
Very poor quality Is not lasting for one set. Base is breakinf and the top is wornREAD MORE,Negative Review
"Bad quality, not good at all I dont like to prefer, beacuse delivery it's too late and as they comfortable they will change as theirs elf near me product is there also they will not deliver, if any emergency things don't order from flipcart better go some other apps ,....really too bad service.. product quality also too badREAD MORE",Negative Review
Very goodREAD MORE,Positive Review
Good quality of shuttlesREAD MORE,Positive Review
"I'm writing this review only because before i have rated only 3 star because i received a duplicate product,,,now I'm rating 5 star as i have received the original yonex mavis 350 shuttle,,thank you and in future i hope i will only receive the original productsREAD MORE",Positive Review
Bad productedREAD MORE,Negative Review
Good productREAD MORE,Positive Review
Received counterfeit product.READ MORE,Negative Review
If u play with this for about 3 to 4 hours daily then 1 shuttle would last for maximum 2 days..READ MORE,Positive Review
Good productREAD MORE,Positive Review
One day 1cap gaanREAD MORE,Negative Review
GoodREAD MORE,Positive Review
Superb. But why price is higher day by day. Between two weeks price is gained 170rsREAD MORE,Positive Review
Good qualityREAD MORE,Positive Review
Very costly now during lockdown phase previously it os 650 now sometimes 750 sometimes 850READ MORE,Negative Review
BestREAD MORE,Positive Review
I play every day with this and we play really hard in Courts. This has always been a best choice.READ MORE,Positive Review
This item is so good you can buy it it is originalREAD MORE,Positive Review
Excellent for Indoor courtREAD MORE,Positive Review
Genuine product. Nice packing.READ MORE,Positive Review
Good quality..😍🖤READ MORE,Positive Review
Nice thanks  FlipkartREAD MORE,Positive Review
Nice productREAD MORE,Positive Review
"Gradual decrease in quality, less longevity.READ MORE",Negative Review
Nice productREAD MORE,Positive Review
wow productREAD MORE,Positive Review
1 box out of 4  boxes has very bad shuttle. All shuttles of that box was not playable.READ MORE,Negative Review
Product is not same as shown in the picture.READ MORE,Negative Review
just Average.... not 100% goodREAD MORE,Negative Review
"I realized that not to buy  shuttles from online ever. cheap and duplicate product.  no refund of your amount, only replacement of the product. plz don't waste your money.READ MORE",Negative Review
Shuttle is just okayish.It's movement in the air is a bit different from other Mavis 350s.READ MORE,Negative Review
I found that some of the shuttle are differentREAD MORE,Negative Review
shuttle was not of genuine conectarte qualityREAD MORE,Negative Review
poor qualityREAD MORE,Negative Review
2 balls are waste. they are rotate. unable to play.READ MORE,Positive Review
very poor quality.... 1 shuttle in not standing more than 2 daysREAD MORE,Negative Review
original productREAD MORE,Positive Review
Shuttle not goodREAD MORE,Negative Review
good as expectedREAD MORE,Positive Review
goodREAD MORE,Positive Review
Yonex Mavis 350 is not a pure item. shuttle's are so oldREAD MORE,Negative Review
"Nice product 👌👌👌👌👌👌👌😎.I suggest you,plz buy this product .This is original product.Made in Japan 😀READ MORE",Positive Review
Good👍READ MORE,Positive Review
very niceREAD MORE,Positive Review
niceREAD MORE,Positive Review
nice shuttle for outdoorREAD MORE,Positive Review
good productREAD MORE,Positive Review
amazing cost and amazing oneREAD MORE,Positive Review
The packing made by flipkart is absolutely perfect and the mavis 350 are pretty good But I think this is very cost for this out side we can get it for just rs600 we can play very hard with these shuttlesREAD MORE,Positive Review
good dilevary and very good productREAD MORE,Positive Review
it's worthREAD MORE,Negative Review
GoodREAD MORE,Negative Review
Looks like these are fake shuttles & not sold by yonex.READ MORE,Negative Review
worst product not to buy low qualityREAD MORE,Negative Review
shuttles were shapeless as they may have been mishandelrd while in transportationREAD MORE,Negative Review
product is not goodREAD MORE,Negative Review
"5 days for a delivery, it's something really very frustrating, even till now I didn't get the product.. please work on service.READ MORE",Negative Review
bad qualityREAD MORE,Negative Review
Very good productREAD MORE,Positive Review
best quality shuttlesREAD MORE,Positive Review
good quality. value the moneyREAD MORE,Positive Review
very goodREAD MORE,Negative Review
Very worstREAD MORE,Negative Review
NOT BAD....READ MORE,Positive Review
shuttle is very good for me I am playing for last 8 days and the shuttle is still good.Value for money.Thank u Flipkart.READ MORE,Positive Review
"Bad Quality,,,,,,READ MORE",Negative Review
Quality is not good. Little bit fast.READ MORE,Negative Review
Excellent it's original as I buy in local sports storesREAD MORE,Positive Review
"Poor quality, shuttle become broke within 3-4 hour playing .ie within 1 dayREAD MORE",Negative Review
The shuttles worn off really quickly. More quickly than a regular mavis 350 does. So I tried to verify the authenticity of the product by entering the code on it onto the website and lo it was a genuine product.I've attached the pictures for reference. It developed a hairline crack so quickly after just half a match. All other shuttles had the same quality.READ MORE,Negative Review
Nice product best price superREAD MORE,Positive Review
If you are a professional player and played in Mavis 350 green colour then don't go for this product as this is lighter and slower than the green one. If you are a new buyer then you can go ahead and buy it as it doesn't matter. The speed is slower than the green Mavis 350READ MORE,Negative Review
Optimum weight and speed.. Easy to control the shots and easy court cover.  Good for learners and even beginners.. Base is not that of thermocol type material like its there in other yonex shurttles.. its a cork base so doesn't  get ruptured easily..  Worth buying👍READ MORE,Positive Review
It's not suitable for outdoorREAD MORE,Negative Review
It seems it is not original. Lighter and not lasting for more than an hour of play.READ MORE,Negative Review
Horrible shuttle I ever playREAD MORE,Negative Review
"Finally got orginal yonex mavis 350.Genuine piece.There are so many fakes avilable in market.so serious players buy from here, you wont regret.READ MORE",Positive Review
One shuttle lasts hardly 5 days which is very less. So I would suggest to the makers to keep in mind this thing before manufacturing. Price is also very high. Make it either durable or cheap for user friendly.READ MORE,Negative Review
"Item received in excellent condition, that too within one day. Thanks to the team. However one suggestion, please don't send the item in such a big cardboard box. Its actually a wastage of resources.READ MORE",Positive Review
Used both the boxes... People who say they are fake have either never played with mavis 350 or may have received a damaged box that might have disturbed the flight of the shuttle.... For me who plays with mavis 350 day in and day out... It is absolutely original and being speed 75...it plays well in Delhi heat above 35 degrees.... Will order moreREAD MORE,Positive Review
"Product is good as like as bought in the open market. Price also is equal to open market. It would be good in on line, if price is less.READ MORE",Positive Review
nice itemsREAD MORE,Positive Review
Thank you flipkart for providing such a great product with good quality and great deal.READ MORE,Positive Review
shutte is durable(lasts long) with good flight time ...much better than what I purchased at local store. also with offer it is cheaperREAD MORE,Positive Review
I love it.....It is really very guudAs well as it has a fantastic delivery It's so early alsoREAD MORE,Positive Review
it's really good shuttle.  if you  want to improve your game it's best and also durable . it's flight is good and weight balance is superb.  it's best for amateur  levelREAD MORE,Positive Review
Not convinced with the quality of product.READ MORE,Negative Review
"There is no option to put images in the review section , the shuttles delivered were all used ones and not even Mavis 350 , The seller must be totally  unprofessional  , a basic check of a seal should be taken care by Flipkart atleastREAD MORE",Negative Review
okREAD MORE,Negative Review
Value for MoneyREAD MORE,Positive Review
Excellent product but cost is higherREAD MORE,Positive Review
one Shuttle just broken in 4 days by a smashREAD MORE,Negative Review
"Shuttle is very poor,Guys dont purchase,flipkhart check with supplier,other very big impact other sales alsoREAD MORE",Negative Review
"nice shuttle , The Flight is correct, and good durability.READ MORE",Positive Review
Ball best but local rate are highREAD MORE,Positive Review
"Good, but flipcart price is too high. From the market we get it only 110 rs per peaceREAD MORE",Negative Review
"Good, slow type cork, we r using it for daily game, one cork lasts for 3 daysREAD MORE",Positive Review
Best shuttlecock ever.... we play everyday for abt 4 hours continusly.... and we still use 1 shuttlecock for about 8 to 10 days... it's very durable.. and has got really good flight... Yonex rocks.... 👍READ MORE,Positive Review
Very worst rateREAD MORE,Negative Review
shuttle has long life and light.READ MORE,Positive Review
Worst product.Dont go for it.It will not stand for an hour playREAD MORE,Negative Review
You are fleecing customers by tagging wrong MRP.READ MORE,Negative Review
Better for beginnersREAD MORE,Positive Review
"shuttle not Good ,even  1 match it will come,think twice before purchaseREAD MORE",Negative Review
Its okkREAD MORE,Negative Review
1st time order quantity is good but next time quality is very poor . Shuttle not looking same also .READ MORE,Negative Review
Nice product for practiceREAD MORE,Positive Review
ExcellentREAD MORE,Positive Review
Good oneREAD MORE,Positive Review
NiceREAD MORE,Positive Review
GoodREAD MORE,Positive Review
It is good .READ MORE,Positive Review
Original product with great discountREAD MORE,Positive Review
Good productREAD MORE,Negative Review
"Absolutely good quality shuttles,and great packing by the team.READ MORE",Positive Review
Product  is  good  but  price  is  increased  Retailer  price  is  620 .READ MORE,Negative Review
"Dear Retailnet, this is the second order, second order  was ifferent to first one. this one the packing look different and the quality was nice.thanks happy with the second orderREAD MORE",Positive Review
"Best cicks,but price was very highest please think itREAD MORE",Positive Review
Poor product...READ MORE,Negative Review
Poor qualityREAD MORE,Negative Review
Value for moneyREAD MORE,Positive Review
Not badREAD MORE,Negative Review
BestREAD MORE,Positive Review
Not so good.READ MORE,Negative Review
Quality not good and rotate the cork new oneREAD MORE,Negative Review
Very worst productREAD MORE,Negative Review
Best qualityREAD MORE,Positive Review
One roll of corks Only two piece of cork is goodBut other four corks is waste after one match corks rolling So don't buy this productREAD MORE,Negative Review
"Bad product. Out of 6, one or two number shuttle were good. All others are getting damaged in one matchREAD MORE",Negative Review
Bad quality .READ MORE,Negative Review
Nice product and packingREAD MORE,Positive Review
This seems to be duplicate...general shuttle can be used around 3 to 5 days..but this online purchased product cannot be used more than 1 day...you can feel the difference with the shuttle while playingREAD MORE,Negative Review
SuperREAD MORE,Positive Review
Best qualityREAD MORE,Positive Review
Going bad quickly. 1 to 2 days.READ MORE,Negative Review
"Extremely good,fully satisfied with its quality wishes to place repeat orderREAD MORE",Positive Review
Best shuttle corkREAD MORE,Positive Review
After playing 3to 4 matches cork gets rotate.  No longer used to play further games.READ MORE,Negative Review
Good quality productREAD MORE,Positive Review
Best for out gameREAD MORE,Negative Review
You. Should definitely buy thisREAD MORE,Positive Review
"Nice quality, genuine product and affordable priceREAD MORE",Positive Review
It is good for outdoor. Easy to spoil when it contact with water.READ MORE,Positive Review
Nice must buyREAD MORE,Positive Review
GoodREAD MORE,Positive Review
Good productREAD MORE,Positive Review
Nice oneREAD MORE,Positive Review
Excellent 👌READ MORE,Positive Review
Thanks FlipkartREAD MORE,Positive Review
Best oneREAD MORE,Positive Review
Very goodREAD MORE,Positive Review
OkREAD MORE,Negative Review
Very good productREAD MORE,Positive Review
Breaking in 1 hour game . Bad qualityREAD MORE,Negative Review
As expected... Nice..READ MORE,Positive Review
Superb..READ MORE,Positive Review
ExcellentREAD MORE,Positive Review
Good productsREAD MORE,Positive Review
NiceREAD MORE,Positive Review
Nice product and longlifeREAD MORE,Positive Review
Very goodREAD MORE,Positive Review
WorthyREAD MORE,Positive Review
Very nice product thank you Flipkart original Mavis 350 ....READ MORE,Positive Review
Nice product. .READ MORE,Positive Review
GoodREAD MORE,Positive Review
GoodREAD MORE,Positive Review
I received original product.READ MORE,Positive Review
"Very good shutles ,READ MORE",Positive Review
GoodREAD MORE,Positive Review
One ball play on one weekREAD MORE,Positive Review
Genuine productREAD MORE,Positive Review
Best products of whole yonex companyREAD MORE,Positive Review
Bad quality...READ MORE,Negative Review
Very niceREAD MORE,Positive Review
goodREAD MORE,Positive Review
The bottom quality is not up to the mark. The wooded cork breaks apart when directly hit by the frame.READ MORE,Negative Review
Okay okREAD MORE,Negative Review
GoodREAD MORE,Positive Review
OkREAD MORE,Positive Review
"It was a genuine product, received in perfect condition.READ MORE",Positive Review
GoodREAD MORE,Positive Review
Easily got damagedREAD MORE,Negative Review
Worst boxREAD MORE,Negative Review
GoodREAD MORE,Positive Review
On time delivery and quality was goodREAD MORE,Positive Review
Now a days getting bad quality.READ MORE,Negative Review
THIS SHTLES ARE VERY NICE AND ORIGNAL .ONE CAN BUY FROM THIS SITEREAD MORE,Positive Review
Nice 👍👍👍READ MORE,Positive Review
Some shuttle quality wise not good actually we need to hit the shuttle with more power even thought it won't.READ MORE,Positive Review
Very bad not goodREAD MORE,Negative Review
GoodREAD MORE,Positive Review
Very bad productREAD MORE,Negative Review
GoodREAD MORE,Positive Review
Very poor quality. Don't buy.READ MORE,Negative Review
It's goodREAD MORE,Positive Review
Nice... Cost was highREAD MORE,Positive Review
Product is good prices are highREAD MORE,Positive Review
NiceREAD MORE,Positive Review
GoodREAD MORE,Positive Review
Very good productREAD MORE,Positive Review
Quality not goodREAD MORE,Negative Review
Good.READ MORE,Positive Review
Very niceREAD MORE,Positive Review
goodREAD MORE,Positive Review
Very goodREAD MORE,Positive Review
FantasticREAD MORE,Positive Review
Full Balanced Shuttle Great Experience with FlipkartREAD MORE,Positive Review
OkayREAD MORE,Positive Review
GoodREAD MORE,Positive Review
shuttle are very smooth i like itREAD MORE,Positive Review
Very goodREAD MORE,Positive Review
350 best shuttle for intermediate players.READ MORE,Positive Review
NiceREAD MORE,Negative Review
Superb qualityREAD MORE,Positive Review
SuperREAD MORE,Positive Review
Very worestREAD MORE,Negative Review
ExcellentREAD MORE,Positive Review
Price is too highREAD MORE,Negative Review
Nice productREAD MORE,Positive Review
Best qualityREAD MORE,Positive Review
GoodREAD MORE,Negative Review
GoodREAD MORE,Positive Review
Good Quality and more discount. 👌👌READ MORE,Positive Review
Good product qualityREAD MORE,Positive Review
"This set of shuttle is very fine and long lastic , sustainable.READ MORE",Positive Review
Worth to buyREAD MORE,Positive Review
"Prodct is good, long lasting and powerfull.READ MORE",Positive Review
Reliable product with best serviceREAD MORE,Positive Review
Try to reduce the cost this productsREAD MORE,Negative Review
Great shuttleREAD MORE,Positive Review
Well conditionREAD MORE,Positive Review
Always good...READ MORE,Positive Review
"Product is good,but price costlyREAD MORE",Positive Review
Great shuttle best in allREAD MORE,Positive Review
SuperREAD MORE,Positive Review
It's nothing to say hate but it's fantastic....READ MORE,Positive Review
OkREAD MORE,Positive Review
GoodproductREAD MORE,Positive Review
Very goodREAD MORE,Positive Review
Valuable product 👍READ MORE,Positive Review
Quality not good...READ MORE,Negative Review
Very goodREAD MORE,Positive Review
Very niceREAD MORE,Positive Review
